field,has_ref,has_extractor,strict,soft,levenshtein
title,1,1,1.0,1.0,1.0
abstract,1,1,0.0,0.999,0.999
language,1,0,0.0,0.0,0.0
date,1,0,0.0,0.0,0.0
issue_number,1,0,0.0,0.0,0.0
volume,1,0,0.0,0.0,0.0
acknowledgements,0,0,0.0,0.0,0.0
authors,1,0,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
tables,1,1,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
figures,1,1,"{'precision': 0.087, 'recall': 0.333, 'avg_similarity': 1.0}","{'precision': 0.174, 'recall': 0.667, 'avg_similarity': 0.961}","{'precision': 0.174, 'recall': 0.667, 'avg_similarity': 0.961}"
keywords,1,1,"{'precision': 1.0, 'recall': 1.0, 'avg_similarity': 1.0}","{'precision': 1.0, 'recall': 1.0, 'avg_similarity': 1.0}","{'precision': 1.0, 'recall': 1.0, 'avg_similarity': 1.0}"
themes,0,0,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
section_titles,1,1,"{'precision': 0.25, 'recall': 0.222, 'avg_similarity': 0.222}","{'precision': 0.312, 'recall': 0.278, 'avg_similarity': 0.273}","{'precision': 0.312, 'recall': 0.278, 'avg_similarity': 0.273}"
content_tables,1,1,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.333, 'recall': 0.353, 'avg_similarity': 0.31}"
bibliographies,1,1,"{'precision': 0.308, 'recall': 0.308, 'avg_similarity': 0.308}","{'precision': 1.0, 'recall': 1.0, 'avg_similarity': 0.995}","{'precision': 1.0, 'recall': 1.0, 'avg_similarity': 0.995}"
id,1,0,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
pagination,1,0,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
rights,1,0,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
