field,has_ref,has_extractor,soft,levenshtein
title,1,1,1.0,1.0
abstract,1,1,0.996,0.996
language,1,0,0.0,0.0
date,1,0,0.0,0.0
issue_number,1,0,0.0,0.0
volume,1,0,0.0,0.0
acknowledgements,0,0,0.0,0.0
authors,1,0,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
tables,1,1,"{'precision': 0.273, 'recall': 0.273, 'avg_similarity': 0.522}","{'precision': 0.273, 'recall': 0.273, 'avg_similarity': 0.581}"
figures,1,1,"{'precision': 0.167, 'recall': 0.5, 'avg_similarity': 1.0}","{'precision': 0.167, 'recall': 0.5, 'avg_similarity': 1.0}"
keywords,1,1,"{'precision': 1.0, 'recall': 1.0, 'avg_similarity': 1.0}","{'precision': 1.0, 'recall': 1.0, 'avg_similarity': 1.0}"
themes,0,0,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
section_titles,1,1,"{'precision': 0.368, 'recall': 0.583, 'avg_similarity': 0.583}","{'precision': 0.368, 'recall': 0.583, 'avg_similarity': 0.583}"
content_tables,1,1,"{'precision': 0.182, 'recall': 0.182, 'avg_similarity': 0.16}","{'precision': 0.636, 'recall': 0.636, 'avg_similarity': 0.553}"
bibliographies,1,1,"{'precision': 0.982, 'recall': 0.965, 'avg_similarity': 0.954}","{'precision': 0.982, 'recall': 0.965, 'avg_similarity': 0.96}"
id,1,0,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
pagination,1,0,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
rights,1,0,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
