field,has_ref,has_extractor,soft,levenshtein
title,1,1,1.0,1.0
abstract,1,1,1.0,1.0
language,1,0,0.0,0.0
date,1,0,0.0,0.0
issue_number,1,0,0.0,0.0
volume,1,0,0.0,0.0
acknowledgements,0,0,0.0,0.0
authors,1,0,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
tables,1,1,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
figures,1,1,"{'precision': 0.308, 'recall': 1.0, 'avg_similarity': 1.0}","{'precision': 0.308, 'recall': 1.0, 'avg_similarity': 1.0}"
keywords,1,1,"{'precision': 0.857, 'recall': 1.0, 'avg_similarity': 0.972}","{'precision': 0.857, 'recall': 1.0, 'avg_similarity': 0.972}"
themes,0,0,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
section_titles,1,1,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
content_tables,1,1,"{'precision': 1.0, 'recall': 1.0, 'avg_similarity': 0.962}","{'precision': 1.0, 'recall': 1.0, 'avg_similarity': 0.962}"
bibliographies,1,1,"{'precision': 1.0, 'recall': 1.0, 'avg_similarity': 0.991}","{'precision': 1.0, 'recall': 1.0, 'avg_similarity': 0.996}"
id,1,0,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
pagination,1,0,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
rights,1,0,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
