field,has_ref,has_extractor,soft,levenshtein
title,1,1,1.0,1.0
abstract,1,1,0.088,0.452
language,1,0,0.0,0.0
date,1,0,0.0,0.0
issue_number,1,0,0.0,0.0
volume,1,0,0.0,0.0
acknowledgements,1,0,0.0,0.0
authors,1,0,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
tables,1,1,"{'precision': 0.286, 'recall': 0.286, 'avg_similarity': 0.0}","{'precision': 0.286, 'recall': 0.286, 'avg_similarity': 0.0}"
figures,1,1,"{'precision': 0.273, 'recall': 0.6, 'avg_similarity': 0.996}","{'precision': 0.273, 'recall': 0.6, 'avg_similarity': 0.996}"
keywords,1,1,"{'precision': 0.769, 'recall': 0.909, 'avg_similarity': 0.893}","{'precision': 0.769, 'recall': 0.909, 'avg_similarity': 0.893}"
themes,0,0,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
section_titles,1,1,"{'precision': 0.706, 'recall': 0.75, 'avg_similarity': 0.75}","{'precision': 0.706, 'recall': 0.75, 'avg_similarity': 0.75}"
content_tables,0,1,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
bibliographies,1,1,"{'precision': 0.974, 'recall': 0.95, 'avg_similarity': 0.945}","{'precision': 0.974, 'recall': 0.95, 'avg_similarity': 0.945}"
id,1,0,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
pagination,1,0,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
rights,1,0,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
