field,has_ref,has_extractor,soft,levenshtein
title,1,0,0.0,0.0
abstract,1,0,0.0,0.0
language,1,0,0.0,0.0
date,1,0,0.0,0.0
issue_number,1,0,0.0,0.0
volume,1,0,0.0,0.0
acknowledgements,0,0,0.0,0.0
authors,1,0,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
tables,1,1,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
figures,1,1,"{'precision': 0.091, 'recall': 0.111, 'avg_similarity': 0.562}","{'precision': 0.182, 'recall': 0.222, 'avg_similarity': 0.593}"
keywords,1,0,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
themes,0,0,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
section_titles,1,1,"{'precision': 0.474, 'recall': 0.6, 'avg_similarity': 0.564}","{'precision': 0.474, 'recall': 0.6, 'avg_similarity': 0.564}"
content_tables,1,1,"{'precision': 0.25, 'recall': 0.25, 'avg_similarity': 0.214}","{'precision': 1.0, 'recall': 1.0, 'avg_similarity': 0.896}"
bibliographies,1,0,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
id,1,0,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
pagination,1,0,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
rights,1,0,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
