field,has_ref,has_extractor,soft,levenshtein
title,1,1,0.479,0.479
abstract,1,1,0.95,0.953
language,1,0,0.0,0.0
date,1,0,0.0,0.0
issue_number,1,0,0.0,0.0
volume,1,0,0.0,0.0
acknowledgements,0,0,0.0,0.0
authors,1,0,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
tables,1,1,"{'precision': 0.25, 'recall': 0.2, 'avg_similarity': 0.699}","{'precision': 0.25, 'recall': 0.2, 'avg_similarity': 0.717}"
figures,1,0,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
keywords,1,0,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
themes,0,0,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
section_titles,1,1,"{'precision': 0.727, 'recall': 1.0, 'avg_similarity': 0.95}","{'precision': 0.727, 'recall': 1.0, 'avg_similarity': 0.95}"
content_tables,1,1,"{'precision': 1.0, 'recall': 0.8, 'avg_similarity': 0.756}","{'precision': 1.0, 'recall': 0.8, 'avg_similarity': 0.766}"
bibliographies,1,1,"{'precision': 0.967, 'recall': 0.967, 'avg_similarity': 0.958}","{'precision': 0.967, 'recall': 0.967, 'avg_similarity': 0.959}"
id,1,0,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
pagination,1,0,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
rights,1,0,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
