field,has_ref,has_extractor,soft,levenshtein
title,1,1,1.0,1.0
abstract,1,1,0.004,0.019
language,1,0,0.0,0.0
date,1,0,0.0,0.0
issue_number,1,0,0.0,0.0
volume,1,0,0.0,0.0
acknowledgements,0,0,0.0,0.0
authors,1,0,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
tables,1,1,"{'precision': 0.1, 'recall': 0.118, 'avg_similarity': 0.0}","{'precision': 0.1, 'recall': 0.118, 'avg_similarity': 0.0}"
figures,1,1,"{'precision': 0.6, 'recall': 0.828, 'avg_similarity': 1.0}","{'precision': 0.6, 'recall': 0.828, 'avg_similarity': 1.0}"
keywords,0,0,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
themes,0,0,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
section_titles,1,1,"{'precision': 0.269, 'recall': 0.778, 'avg_similarity': 0.776}","{'precision': 0.269, 'recall': 0.778, 'avg_similarity': 0.776}"
content_tables,0,1,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
bibliographies,1,1,"{'precision': 1.0, 'recall': 1.0, 'avg_similarity': 0.997}","{'precision': 1.0, 'recall': 1.0, 'avg_similarity': 0.997}"
id,1,0,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
pagination,1,0,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
rights,1,0,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
