field,has_ref,has_extractor,strict,soft,levenshtein
title,1,1,0.0,0.742,0.742
abstract,1,0,0.0,0.0,0.0
language,1,1,1.0,1.0,1.0
date,1,0,0.0,0.0,0.0
issue_number,1,0,0.0,0.0,0.0
volume,1,0,0.0,0.0,0.0
acknowledgements,1,0,0.0,0.0,0.0
authors,1,1,"{'precision': 0.5, 'recall': 0.5, 'avg_similarity': 0.75}","{'precision': 1.0, 'recall': 1.0, 'avg_similarity': 0.914}","{'precision': 1.0, 'recall': 1.0, 'avg_similarity': 0.914}"
tables,1,0,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
figures,1,1,"{'precision': 0.5, 'recall': 0.75, 'avg_similarity': 1.0}","{'precision': 0.5, 'recall': 0.75, 'avg_similarity': 1.0}","{'precision': 0.5, 'recall': 0.75, 'avg_similarity': 1.0}"
keywords,1,0,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
themes,0,0,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
section_titles,1,1,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.5, 'recall': 0.857, 'avg_similarity': 0.799}","{'precision': 0.5, 'recall': 0.857, 'avg_similarity': 0.799}"
content_tables,1,0,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
bibliographies,1,1,"{'precision': 0.611, 'recall': 0.478, 'avg_similarity': 0.478}","{'precision': 0.778, 'recall': 0.609, 'avg_similarity': 0.595}","{'precision': 0.778, 'recall': 0.609, 'avg_similarity': 0.595}"
id,1,1,"{'precision': 0.5, 'recall': 0.5, 'avg_similarity': 1.0}","{'precision': 0.5, 'recall': 0.5, 'avg_similarity': 1.0}","{'precision': 0.5, 'recall': 0.5, 'avg_similarity': 1.0}"
pagination,1,0,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
rights,1,0,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
