field,has_ref,has_extractor,soft,levenshtein
title,1,1,0.876,0.876
abstract,1,1,0.998,0.998
language,1,1,1.0,1.0
date,1,0,0.0,0.0
issue_number,1,0,0.0,0.0
volume,1,0,0.0,0.0
acknowledgements,0,0,0.0,0.0
authors,1,1,"{'precision': 0.833, 'recall': 1.0, 'avg_similarity': 0.99}","{'precision': 0.833, 'recall': 1.0, 'avg_similarity': 0.99}"
tables,1,1,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
figures,1,1,"{'precision': 0.2, 'recall': 0.5, 'avg_similarity': 0.887}","{'precision': 0.2, 'recall': 0.5, 'avg_similarity': 0.887}"
keywords,1,0,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
themes,0,0,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
section_titles,1,1,"{'precision': 0.545, 'recall': 0.8, 'avg_similarity': 0.76}","{'precision': 0.545, 'recall': 0.8, 'avg_similarity': 0.76}"
content_tables,1,1,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 1.0, 'recall': 0.125, 'avg_similarity': 0.104}"
bibliographies,1,1,"{'precision': 0.973, 'recall': 0.947, 'avg_similarity': 0.943}","{'precision': 0.973, 'recall': 0.947, 'avg_similarity': 0.943}"
id,1,1,"{'precision': 0.5, 'recall': 0.5, 'avg_similarity': 1.0}","{'precision': 0.5, 'recall': 0.5, 'avg_similarity': 1.0}"
pagination,1,0,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
rights,1,0,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
