field,has_ref,has_extractor,strict,soft,levenshtein
title,1,1,0.0,0.553,0.553
overline,0,0,0.0,0.0,0.0
subtitle,0,0,0.0,0.0,0.0
abstract,1,1,0.0,0.993,0.993
language,1,1,1.0,1.0,1.0
date,1,0,0.0,0.0,0.0
issue_number,1,0,0.0,0.0,0.0
volume,1,0,0.0,0.0,0.0
acknowledgements,1,1,0.0,0.405,0.979
authors,1,1,"{'precision': 0.6, 'recall': 0.75, 'avg_similarity': 0.889}","{'precision': 0.6, 'recall': 0.75, 'avg_similarity': 0.999}","{'precision': 0.6, 'recall': 0.75, 'avg_similarity': 0.999}"
editorial_team,1,0,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
tables,1,0,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
figures,1,1,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.25, 'recall': 0.2, 'avg_similarity': 0.611}","{'precision': 0.25, 'recall': 0.2, 'avg_similarity': 0.611}"
keywords,1,1,"{'precision': 0.455, 'recall': 0.833, 'avg_similarity': 0.833}","{'precision': 0.455, 'recall': 0.833, 'avg_similarity': 0.818}","{'precision': 0.455, 'recall': 0.833, 'avg_similarity': 0.818}"
themes,0,0,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
biographical_notes,0,0,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
section_titles,1,1,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.64, 'recall': 1.0, 'avg_similarity': 0.914}","{'precision': 0.64, 'recall': 1.0, 'avg_similarity': 0.914}"
bibliographies,1,1,"{'precision': 0.763, 'recall': 0.725, 'avg_similarity': 0.725}","{'precision': 0.974, 'recall': 0.925, 'avg_similarity': 0.924}","{'precision': 0.974, 'recall': 0.925, 'avg_similarity': 0.924}"
id,1,1,"{'precision': 0.5, 'recall': 0.5, 'avg_similarity': 1.0}","{'precision': 0.5, 'recall': 0.5, 'avg_similarity': 1.0}","{'precision': 0.5, 'recall': 0.5, 'avg_similarity': 1.0}"
pagination,1,0,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
rights,1,0,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
