field,has_ref,has_extractor,soft,levenshtein
title,1,1,0.642,0.642
abstract,1,1,0.924,0.994
language,1,1,1.0,1.0
date,1,0,0.0,0.0
issue_number,1,0,0.0,0.0
volume,1,0,0.0,0.0
acknowledgements,1,1,0.99,0.99
authors,1,1,"{'precision': 1.0, 'recall': 1.0, 'avg_similarity': 0.918}","{'precision': 1.0, 'recall': 1.0, 'avg_similarity': 0.918}"
tables,0,0,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
figures,1,1,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
keywords,1,1,"{'precision': 1.0, 'recall': 0.625, 'avg_similarity': 0.625}","{'precision': 1.0, 'recall': 0.625, 'avg_similarity': 0.625}"
themes,0,0,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
section_titles,1,1,"{'precision': 0.875, 'recall': 1.0, 'avg_similarity': 0.892}","{'precision': 0.875, 'recall': 1.0, 'avg_similarity': 0.892}"
content_tables,0,0,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
bibliographies,1,1,"{'precision': 1.0, 'recall': 1.0, 'avg_similarity': 0.99}","{'precision': 1.0, 'recall': 1.0, 'avg_similarity': 0.994}"
id,1,1,"{'precision': 0.5, 'recall': 0.5, 'avg_similarity': 1.0}","{'precision': 0.5, 'recall': 0.5, 'avg_similarity': 1.0}"
pagination,1,0,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
rights,1,0,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
