field,has_ref,has_extractor,soft,levenshtein
title,1,1,0.634,0.634
abstract,1,0,0.0,0.0
language,1,1,1.0,1.0
date,1,0,0.0,0.0
issue_number,1,0,0.0,0.0
volume,1,0,0.0,0.0
acknowledgements,1,0,0.0,0.0
authors,1,1,"{'precision': 1.0, 'recall': 1.0, 'avg_similarity': 1.0}","{'precision': 1.0, 'recall': 1.0, 'avg_similarity': 1.0}"
tables,1,0,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
figures,1,1,"{'precision': 0.1, 'recall': 0.333, 'avg_similarity': 1.0}","{'precision': 0.1, 'recall': 0.333, 'avg_similarity': 1.0}"
keywords,1,1,"{'precision': 1.0, 'recall': 0.5, 'avg_similarity': 0.5}","{'precision': 1.0, 'recall': 0.5, 'avg_similarity': 0.5}"
themes,0,0,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
section_titles,1,1,"{'precision': 0.476, 'recall': 0.667, 'avg_similarity': 0.613}","{'precision': 0.476, 'recall': 0.667, 'avg_similarity': 0.613}"
content_tables,1,0,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
bibliographies,1,1,"{'precision': 0.97, 'recall': 0.8, 'avg_similarity': 0.797}","{'precision': 0.97, 'recall': 0.8, 'avg_similarity': 0.798}"
id,1,1,"{'precision': 0.5, 'recall': 0.5, 'avg_similarity': 1.0}","{'precision': 0.5, 'recall': 0.5, 'avg_similarity': 1.0}"
pagination,1,0,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
rights,1,0,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
